step,n_seeds,validate/loss_step_mean,validate/loss_step_std,validate/pred_loss_step_mean,validate/pred_loss_step_std,epoch_mean,epoch_std,fit/grad_norm_pre_clip_mean,fit/grad_norm_pre_clip_std,fit/loss_mean,fit/loss_std,fit/pred_loss_mean,fit/pred_loss_std,validate/loss_epoch_mean,validate/loss_epoch_std,validate/pred_loss_epoch_mean,validate/pred_loss_epoch_std
0,2,0.02641541138291359,0.006619120411787397,0.02641541138291359,0.006619120411787397,,,,,,,,,,,,
1,2,0.03323975298553705,0.0049123613908254714,0.03323975298553705,0.0049123613908254714,,,,,,,,,,,,
2,2,0.027347931638360023,0.00452546780947464,0.027347931638360023,0.00452546780947464,,,,,,,,,,,,
3,2,0.036165472120046616,0.002307060535569637,0.036165472120046616,0.002307060535569637,,,,,,,,,,,,
4,2,0.023056368343532085,0.00319379993519148,0.023056368343532085,0.00319379993519148,,,,,,,,,,,,
5,2,0.02607717551290989,0.0005453802197309688,0.02607717551290989,0.0005453802197309688,,,,,,,,,,,,
6,2,0.027486344799399376,0.009650013557861159,0.027486344799399376,0.009650013557861159,,,,,,,,,,,,
7,2,0.026225811801850796,0.002226342735226195,0.026225811801850796,0.002226342735226195,,,,,,,,,,,,
8,2,0.025167852640151978,0.0027141832871166818,0.025167852640151978,0.0027141832871166818,,,,,,,,,,,,
9,2,0.034379445016384125,0.007562993815832805,0.034379445016384125,0.007562993815832805,,,,,,,,,,,,
10,2,0.022728255949914455,0.00021231606646264465,0.022728255949914455,0.00021231606646264465,,,,,,,,,,,,
11,2,0.020777450874447823,0.0024593265625273693,0.020777450874447823,0.0024593265625273693,,,,,,,,,,,,
12,2,0.02331432979553938,0.0017888031299444444,0.02331432979553938,0.0017888031299444444,,,,,,,,,,,,
13,2,0.02647736668586731,0.005505395208243086,0.02647736668586731,0.005505395208243086,,,,,,,,,,,,
14,2,0.02309639099985361,0.00014599536615272096,0.02309639099985361,0.00014599536615272096,,,,,,,,,,,,
15,2,0.021148269064724445,0.0021307563169815193,0.021148269064724445,0.0021307563169815193,,,,,,,,,,,,
16,2,0.0268928874284029,0.004100406305530146,0.0268928874284029,0.004100406305530146,,,,,,,,,,,,
17,2,0.02206048835068941,0.00102062149809473,0.02206048835068941,0.00102062149809473,,,,,,,,,,,,
18,2,0.023696988821029663,0.0035248963574699517,0.023696988821029663,0.0035248963574699517,,,,,,,,,,,,
19,2,0.027145231142640114,0.006387815872981578,0.027145231142640114,0.006387815872981578,,,,,,,,,,,,
49,2,,,,,0.0,0.0,0.16028419137001038,0.02754758058178119,0.26791633665561676,0.03863123236263057,0.26791633665561676,0.03863123236263057,,,,
99,2,,,,,0.0,0.0,0.07758650183677673,0.010400588343745448,0.13377645611763,0.006338211666462288,0.13377645611763,0.006338211666462288,,,,
149,2,,,,,0.0,0.0,0.07151872292160988,0.01851697028052629,0.08277348801493645,0.0012300083585858675,0.08277348801493645,0.0012300083585858675,,,,
199,2,,,,,0.0,0.0,0.08412664756178856,0.00040876647863896963,0.0980580598115921,0.020918429220048204,0.0980580598115921,0.020918429220048204,,,,
249,2,,,,,0.0,0.0,0.06771893799304962,0.0009325727802884245,0.06501027196645737,0.003077225703477395,0.06501027196645737,0.003077225703477395,,,,
299,2,,,,,0.0,0.0,0.10121848061680794,0.007137257962312136,0.07506056874990463,0.0103807687882332,0.07506056874990463,0.0103807687882332,,,,
349,2,,,,,0.0,0.0,0.12139371782541275,0.016167604845763843,0.06670758128166199,0.014462058863785623,0.06670758128166199,0.014462058863785623,,,,
399,2,,,,,0.0,0.0,0.08309124410152435,0.015347279659772058,0.043202536180615425,0.013188847351298058,0.043202536180615425,0.013188847351298058,,,,
449,2,,,,,0.0,0.0,0.13444911688566208,0.006436297919659266,0.0717676430940628,0.011147915188116366,0.0717676430940628,0.011147915188116366,,,,
499,2,,,,,0.0,0.0,0.10216289386153221,0.012196597267696238,0.04885074868798256,0.00023062755505161213,0.04885074868798256,0.00023062755505161213,,,,
549,2,,,,,0.0,0.0,0.12596267089247704,0.005972508730289324,0.056729190051555634,0.014548639027339128,0.056729190051555634,0.014548639027339128,,,,
599,2,,,,,0.0,0.0,0.11548815295100212,0.022806360420601253,0.04248323105275631,0.0004017042473353629,0.04248323105275631,0.0004017042473353629,,,,
649,2,,,,,0.0,0.0,0.0956384725868702,0.003418441320665529,0.041747795417904854,0.0011738555854791971,0.041747795417904854,0.0011738555854791971,,,,
699,2,,,,,0.0,0.0,0.11984215676784515,0.03692141901224062,0.05042453296482563,0.01339473997462984,0.05042453296482563,0.01339473997462984,,,,
749,2,,,,,0.0,0.0,0.15464463457465172,0.07113901759374218,0.06489784456789494,0.02486480459933922,0.06489784456789494,0.02486480459933922,,,,
799,2,,,,,0.0,0.0,0.12439527735114098,0.013162107810095927,0.05093013308942318,0.008837243194464951,0.05093013308942318,0.008837243194464951,,,,
849,2,,,,,0.0,0.0,0.10807004570960999,0.016047391497098648,0.04554114304482937,0.003906314799781415,0.04554114304482937,0.003906314799781415,,,,
899,2,,,,,0.0,0.0,0.1111806370317936,0.017333592141461664,0.042941989377141,0.0002990924762795276,0.042941989377141,0.0002990924762795276,,,,
949,2,,,,,0.0,0.0,0.12156500294804573,0.030494419741034073,0.050254251807928085,0.010059910098875828,0.050254251807928085,0.010059910098875828,,,,
999,2,,,,,0.0,0.0,0.10580967739224434,0.0409938529812497,0.038245899602770805,0.008544986410178285,0.038245899602770805,0.008544986410178285,,,,
1049,2,,,,,0.0,0.0,0.13413198292255402,0.007213095947851427,0.049420883879065514,0.0028262807332655,0.049420883879065514,0.0028262807332655,,,,
1099,2,,,,,0.0,0.0,0.12553003430366516,0.01346334714147148,0.04094693250954151,0.0023762630266464927,0.04094693250954151,0.0023762630266464927,,,,
1149,2,,,,,0.0,0.0,0.11739126220345497,0.011812555184064972,0.04697571322321892,0.0058359424044019,0.04697571322321892,0.0058359424044019,,,,
1199,2,,,,,0.0,0.0,0.12961632758378983,0.0029099132516012733,0.047527015209198,0.008761592235565928,0.047527015209198,0.008761592235565928,,,,
1249,2,,,,,0.0,0.0,0.11037613451480865,0.007800633552805417,0.04021742008626461,0.0065378428486121696,0.04021742008626461,0.0065378428486121696,,,,
1299,2,,,,,0.0,0.0,0.13340279459953308,0.019007954723897887,0.045194776728749275,0.007560699446766993,0.045194776728749275,0.007560699446766993,,,,
1349,2,,,,,0.0,0.0,0.1251581348478794,0.03410750047647897,0.03753136284649372,0.0025640008949822067,0.03753136284649372,0.0025640008949822067,,,,
1399,2,,,,,0.0,0.0,0.11823055893182755,0.03814063250925164,0.0394488163292408,0.00654051653931458,0.0394488163292408,0.00654051653931458,,,,
1449,2,,,,,0.0,0.0,0.12758788838982582,0.005558869022291283,0.04558330401778221,0.006874214212399583,0.04558330401778221,0.006874214212399583,,,,
1499,2,,,,,0.0,0.0,0.11392384395003319,0.01290456949227011,0.032485561445355415,0.002728731852387036,0.032485561445355415,0.002728731852387036,,,,
1549,2,,,,,0.0,0.0,0.12049096822738647,0.030481275192654738,0.04554464854300022,0.016216882414207174,0.04554464854300022,0.016216882414207174,,,,
1599,2,,,,,0.0,0.0,0.13498206809163094,0.014941811172029067,0.05313515104353428,0.002486466498790353,0.05313515104353428,0.002486466498790353,,,,
1649,2,,,,,0.0,0.0,0.13319797441363335,0.029547748839918755,0.044769370928406715,0.014306486943397818,0.044769370928406715,0.014306486943397818,,,,
1699,2,,,,,0.0,0.0,0.11983335018157959,0.02152163491593612,0.037769380025565624,0.01889174664293024,0.037769380025565624,0.01889174664293024,,,,
1749,2,,,,,0.0,0.0,0.1308698132634163,0.004337637744907809,0.04471856728196144,0.00618629335100477,0.04471856728196144,0.00618629335100477,,,,
1799,2,,,,,0.0,0.0,0.14148179441690445,0.033149139093257944,0.04042140766978264,0.001817661867373263,0.04042140766978264,0.001817661867373263,,,,
1849,2,,,,,0.0,0.0,0.1515258476138115,0.021507210157033264,0.04675674065947533,0.0013728967117499261,0.04675674065947533,0.0013728967117499261,,,,
1899,2,,,,,0.0,0.0,0.13294516876339912,0.024367953841490517,0.04020627308636904,0.012666138184798902,0.04020627308636904,0.012666138184798902,,,,
1949,2,,,,,0.0,0.0,0.1520736962556839,0.01639044577055307,0.04535704478621483,0.0036554751966907974,0.04535704478621483,0.0036554751966907974,,,,
1999,2,,,,,0.0,0.0,0.1260889172554016,0.01323965274299991,0.03686663135886192,0.002489393070583828,0.03686663135886192,0.002489393070583828,,,,
2049,2,,,,,0.0,0.0,0.11837682500481606,0.01363591214434327,0.0390386488288641,0.007320072551906171,0.0390386488288641,0.007320072551906171,,,,
2099,2,,,,,0.0,0.0,0.12795152515172958,0.011478978683169438,0.042526980862021446,0.0036959704155756705,0.042526980862021446,0.0036959704155756705,,,,
2149,2,,,,,0.0,0.0,0.11714319884777069,0.011405990878260698,0.03803725913167,0.004431909708314551,0.03803725913167,0.004431909708314551,,,,
2199,2,,,,,0.0,0.0,0.12189951539039612,0.0014327715784157148,0.03831399977207184,0.0033813837041123257,0.03831399977207184,0.0033813837041123257,,,,
2249,2,,,,,0.0,0.0,0.11669816449284554,0.01826477407574923,0.032960222102701664,0.003944906825038218,0.032960222102701664,0.003944906825038218,,,,
2299,2,,,,,0.0,0.0,0.14263301342725754,0.009400253967763634,0.03825979679822922,0.007087751220380027,0.03825979679822922,0.007087751220380027,,,,
2349,2,,,,,0.0,0.0,0.14350566640496254,0.0423138922766109,0.03860844112932682,0.005017063382149644,0.03860844112932682,0.005017063382149644,,,,
2399,2,,,,,0.0,0.0,0.13964416086673737,0.0033024584619196127,0.04073191620409489,0.0009069290571475775,0.04073191620409489,0.0009069290571475775,,,,
2449,2,,,,,0.0,0.0,0.12417374551296234,0.011020305067537506,0.03789553791284561,0.00010143692765359421,0.03789553791284561,0.00010143692765359421,,,,
2499,2,,,,,0.0,0.0,0.149079080671072,0.04348307746443948,0.038090591318905354,0.011439996799563909,0.038090591318905354,0.011439996799563909,,,,
2549,2,,,,,0.0,0.0,0.11950923502445221,0.0211391311922755,0.039184425957500935,0.01370482619292563,0.039184425957500935,0.01370482619292563,,,,
2599,2,,,,,0.0,0.0,0.13936686515808105,0.009163673170359857,0.03921584412455559,0.004743564579628357,0.03921584412455559,0.004743564579628357,,,,
2649,2,,,,,0.0,0.0,0.13966067880392075,0.01864744111844783,0.03867833688855171,0.0019308103505568219,0.03867833688855171,0.0019308103505568219,,,,
2699,2,,,,,0.0,0.0,0.1366562396287918,0.0022657935025214076,0.04215484485030174,0.009747607219766167,0.04215484485030174,0.009747607219766167,,,,
2749,2,,,,,0.0,0.0,0.16757304221391678,0.029150372547089853,0.04876190610229969,0.004647488204269742,0.04876190610229969,0.004647488204269742,,,,
